description,keywords,genre,year,name,director,id
"Orin Boyd, un duro policía de una comisaría del centro de la ciudad, descubre una red de policías corruptos.","vietnam war veteran, heroína, drogas, narcotraficante, corrupt cop","acción, crimen, suspense",2001.0,Herida abierta,Andrzej Bartkowiak,1
"Al llegar a un pequeño pueblo donde ha heredado una mansión en ruinas, una famosa anfitriona del terror lucha contra un tío malvado y la gente del pueblo que quiere quemarla en la hoguera.","herencia, hostess, comedia negra, pueblo, magia","comedia, terror",1989.0,"Elvira, reina de las tinieblas",James Signorelli,2
"Una mujer finge su muerte en un intento de escapar de su horrible matrimonio, pero descubre que es imposible evitar a su controlador marido.","violencia doméstica, muerte fingida, borderline personality disorder, relación madre hija, psico-thriller","drama, suspense",1991.0,Durmiendo con su enemigo,Joseph Ruben,3
"Durante un memorial en la ciudad natal de su padre, nacido en Kentucky, un joven comienza un romance inesperado con una azafata demasiado buena para ser verdad.","manic pixie dream girl, publicidad, bad publicity, quote, cubicle","comedia, drama, romance",2005.0,Elizabethtown,Cameron Crowe,4
Las pruebas nucleares francesas irradian a una iguana hasta convertirla en un monstruo gigante que se dirige a Nueva York. Los militares estadounidenses deben perseguirlo por toda la ciudad para detenerlo antes de que se reproduzca.,"monstruo gigante, iguana, militar, giant footprint, monstruo","acción, ciencia ficción, suspense",1998.0,Godzilla,Roland Emmerich,5
Las aventuras en el tiempo de un genio canino y su hijo adoptivo en sus intentos de reparar la brecha temporal que han creado.,"perro parlante, year 1789, early modern period, year 1508, year 1184 b.c.","animación, aventura, comedia",2014.0,Las aventuras de Peabody y Sherman,Rob Minkoff,6
"Dos amigos, Smokey y Craig, se fuman la hierba de un traficante de drogas y tratan de encontrar la manera de conseguir los $200 que le deben al traficante antes de las diez de esa misma noche.","barrio, bully, narcotraficante, la década de 1990, ice cream truck","comedia, drama",1995.0,Friday,F. Gary Gray,7
"Dos jóvenes amantes, Sailor y Lula, huyen de varios personajes que la madre de Lula contrató para matar a Sailor.","domineering mother, vanguardista, surrealismo, amor prohibido, violencia","comedia, crimen, drama",1991.0,Corazón salvaje,David Lynch,8
La vida de J. C. se convierte en un caos cuando hereda un bebé de un pariente lejano.,"bebé, baby girl, carrera, career woman, female protagonist","comedia, drama, romance",1987.0,"Baby, tú vales mucho",Charles Shyer,9
"Un psicoterapeuta duda de sí mismo y busca la ayuda de su antiguo terapeuta, a quien hace años que no ve.","terapeuta, based on israeli tv series, drama psicológico, timeframe 2000s, timeframe 2010s",drama,2008.0,En terapia,,10
"A medida que la corrupción crece en Los Ángeles de los años 50, tres policías, uno de ellos de carácter estricto, otro brutal y otro sórdido, investigan una serie de asesinatos con su propio estilo de justicia.","corrupción, la década de 1950, asesinato, call girl, neonoir","crimen, drama, misterio",1997.0,L.A. Confidential,Curtis Hanson,11
Godzilla salva a Tokio de un platillo volador que se transforma en la bestia Orga.,"explosión, alienígena, azotea, militar, invasión alienígena","acción, aventura, drama",1999.0,Gojira ni-sen mireniamu,Takao Okawara,12
"En un mundo donde los mutantes (humanos superpoderosos evolucionados) existen y son discriminados, dos grupos se forman para un choque inevitable: la supremacista Hermandad y los pacifistas X-Men.","mutante, superhéroe, equipo de superhéroes, logan character, erik lehnsherr character","acción, aventura, ciencia ficción",2000.0,X-Men,Bryan Singer,13
"En un aterrador futuro higienizado, el joven Guy Montag, cuyo trabajo como bombero es quemar libros, cuestiona sus acciones después de conocer a una joven, y se empieza a rebelar contra la sociedad.","distopia, book burning, lanzallamas, emoji, based on novel","drama, ciencia ficción, suspense",2018.0,Fahrenheit 451,Ramin Bahrani,14
Agente del IMF Ethan Hunt se enfrenta a un peligroso y sádico traficante de armas que amenaza su vida y la de su prometida.,"ethan hunt character, luther stickell character, tape over mouth, tough woman, Italia","acción, aventura, suspense",2006.0,Misión: Imposible 3,J.J. Abrams,15
"Las tortugas y Shredder vuelven a luchar, esta vez por el último bote de cieno que creó a las tortugas, con el que el Shredder quiere liberar a un ejército de nuevos mutantes.","animal antropomorfo, ninja master, equipo de superhéroes, ciudad de Nueva York, tortuga","acción, aventura, comedia",1991.0,Las Tortugas Ninja II: El secreto de los mocos verdes,Michael Pressman,16
"Basada en una historia real, Adiós Bafana muestra la improbable aunque profunda relacción entre James Gregory, un carcelero racista sudafricano, y su prisionero, Nelson Mandela.","nelson mandela, violencia, african national congress, relación padre-hija, film starts with text","biografía, drama, historia",2007.0,Adiós Bafana,Bille August,17
"Un grupo de adolescentes temen por sus vidas en los pantanos de Louisiana, perseguidos por el Sr. Jangles, un hombre poseído por 13 almas malvadas y ahora implacable en su búsqueda de nuevas víctimas.","vudú, Louisiana, muertos vivientes, pantano, serpiente",terror,2005.0,Envenenados,Jim Gillespie,18
"Rex y Saskia son una pareja enamorada de vacaciones. Paran en una gasolinera y Saskia es secuestrada. Después de tres años sin noticias, Rex empieza a recibir cartas del secuestrador.","gasolinera, Francia, película de culto, psico-thriller, psicópata","misterio, suspense",1988.0,Desaparecida,George Sluizer,19
"Un agente de la DEA ofrece al exmarine Tim Kearney una forma de librarse de su pena de prisión: hacerse pasar por Bobby Z, un traficante de drogas recientemente fallecido, en un intercambio de rehenes con un señor del crimen.","bebiendo de una botella, woman wears black lingerie, coche, automóvil, u.s. car","acción, crimen, suspense",2008.0,Bobby Z,John Herzfeld,20
Las cosas se salen de control cuando la familia Byrnes conoce a la familia Focker por primera vez.,"neo screwball comedy, familia disfuncional, farsa, family character name in title, male nurse","comedia, romance",2005.0,Los padres de él,Jay Roach,21
"Cuando su relación se deteriora, una pareja se somete a un proceso médico para borrar el uno al otro de su memoria.","memoria, soledad, día de San Valentín, retrospectiva, línea temporal no-linear","drama, romance, ciencia ficción",2004.0,¡Olvídate de mí!,Michel Gondry,22
"El compañero de celda de Cpsimo le hace partícipe de su plan. Le pide a su mujer que encuentre un cabeza de turco al que colgarle el robo fallido de su coche y le ofrece 15 000 dólares. De repente, hay siete personas involucradas.","prisión, allanamiento de morada, escape de prisión, caper comedy, robo","comedia, crimen",2002.0,Bienvenidos a Collinwood,Anthony Russo,23
"Después de un accidente de coche, una joven atrapada entre la vida y la muerte se encuentra con un director de funeraria que dice tener el don de realizar la transición de los muertos al más allá.","breath on mirror, dead but doesn't know it, female rear nudity, female star appears nude, female full frontal nudity","drama, misterio, suspense",2009.0,Más allá de la muerte,Agnieszka Wojtowicz-Vosloo,24
"Un empleado de un contratista militar y su amigo de la infancia traficante de drogas, quienes se convirtieron en espías de la Unión Soviética.","political superpower, ingenuidad, cia central intelligence agency, mexico city, prosthetic leg","biografía, crimen, drama",1985.0,El juego del halcón,John Schlesinger,25
